会议室名称,会议标题,参会人数,部门名称,开始日期,开始时间,结束日期,结束时间,设备需求
会议室A,技术部周会,8,技术部,2026-06-10,09:00,2026-06-10,10:30,投影仪;白板
会议室B,产品评审会,15,产品部,2026-06-10,14:00,2026-06-10,16:00,投影仪;视频会议系统
大会议室,全员大会,40,技术部,2026-06-11,10:00,2026-06-11,12:00,投影仪*2;麦克风*2
培训室,新员工培训,25,人力资源部,2026-06-12,09:00,2026-06-12,17:00,投影仪;显示器
会议室A,一对一面谈,2,人力资源部,2026-06-10,11:00,2026-06-10,11:30,白板
不存在的会议室,测试错误,5,技术部,2026-06-10,13:00,2026-06-10,14:00,
会议室A,人数超限测试,15,技术部,2026-06-13,09:00,2026-06-13,10:00,
会议室B,时间错误测试,10,市场部,2026-06-10,15:00,2026-06-10,14:00,
会议室A,设备不存在测试,5,市场部,2026-06-14,09:00,2026-06-14,10:00,不存在的设备
会议室A,部门不存在测试,5,不存在的部门,2026-06-15,09:00,2026-06-15,10:00,
